week_start,weekend_days,holiday_days,short_work_days,is_holiday_week,is_school_break_week,school_break_days,is_new_year_period,is_may_holiday_period,is_school_start_week,restriction_level,mask_mandate,remote_work
2022-09-19,2,0,0,0,0,0,0,0,0,0,0,0
2022-09-26,2,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,2,0,0,0,0,0,0,0,0,0,0,0
2022-10-10,2,0,0,0,1,7,0,0,0,0,0,0
2022-10-17,2,0,0,0,0,0,0,0,0,0,0,0
2022-10-24,2,0,0,0,1,2,0,0,0,0,0,0
2022-10-31,2,2,1,1,1,7,0,0,0,0,0,0
2022-11-07,2,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,2,0,0,0,0,0,0,0,0,0,0,0
2022-11-21,2,0,0,0,1,7,0,0,0,0,0,0
2022-11-28,2,0,0,0,0,0,0,0,0,0,0,0
2022-12-05,2,0,0,0,0,0,0,0,0,0,0,0
2022-12-12,2,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,2,0,0,0,0,0,0,0,0,0,0,0
2022-12-26,2,0,0,0,1,2,1,0,0,0,0,0
2023-01-02,2,5,0,1,1,7,1,0,0,0,0,0
2023-01-09,2,0,0,0,0,0,0,0,0,0,0,0
2023-01-16,2,0,0,0,0,0,0,0,0,0,0,0
2023-01-23,2,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,2,0,0,0,0,0,0,0,0,0,0,0
2023-02-06,2,0,0,0,0,0,0,0,0,0,0,0
2023-02-13,2,0,0,0,0,0,0,0,0,0,0,0
2023-02-20,2,3,1,1,1,7,0,0,0,0,0,0
2023-02-27,2,0,0,0,0,0,0,0,0,0,0,0
2023-03-06,2,2,1,1,0,0,0,0,0,0,0,0
2023-03-13,2,0,0,0,0,0,0,0,0,0,0,0
2023-03-20,2,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,2,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,2,0,0,0,1,7,0,0,0,0,0,0
2023-04-10,2,0,0,0,1,7,0,0,0,0,0,0
2023-04-17,2,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,2,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,2,1,0,1,0,0,0,1,0,0,0,0
2023-05-08,2,2,0,1,0,0,0,1,0,0,0,0
2023-05-15,2,0,0,0,0,0,0,0,0,0,0,0
2023-05-22,2,0,0,0,0,0,0,0,0,0,0,0
2023-05-29,2,0,0,0,0,0,0,0,0,0,0,0
2023-06-05,2,0,0,0,0,0,0,0,0,0,0,0
2023-06-12,2,1,0,1,0,0,0,0,0,0,0,0
2023-06-19,2,0,0,0,0,0,0,0,0,0,0,0
2023-06-26,2,0,0,0,0,0,0,0,0,0,0,0
2023-07-03,2,0,0,0,0,0,0,0,0,0,0,0
2023-07-10,2,0,0,0,0,0,0,0,0,0,0,0
2023-07-17,2,0,0,0,0,0,0,0,0,0,0,0
2023-07-24,2,0,0,0,0,0,0,0,0,0,0,0
2023-07-31,2,0,0,0,0,0,0,0,0,0,0,0
2023-08-07,2,0,0,0,0,0,0,0,0,0,0,0
2023-08-14,2,0,0,0,0,0,0,0,0,0,0,0
2023-08-21,2,0,0,0,0,0,0,0,0,0,0,0
2023-08-28,2,0,0,0,0,0,0,0,1,0,0,0
2023-09-04,2,0,0,0,0,0,0,0,0,0,0,0
2023-09-11,2,0,0,0,0,0,0,0,0,0,0,0
2023-09-18,2,0,0,0,0,0,0,0,0,0,0,0
2023-09-25,2,0,0,0,0,0,0,0,0,0,0,0
2023-10-02,2,0,0,0,0,0,0,0,0,0,0,0
2023-10-09,2,0,0,0,1,7,0,0,0,0,0,0
2023-10-16,2,0,0,0,0,0,0,0,0,0,0,0
2023-10-23,2,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,2,1,1,1,1,7,0,0,0,0,0,0
2023-11-06,2,1,0,1,0,0,0,0,0,0,0,0
2023-11-13,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,2,0,0,0,1,7,0,0,0,0,0,0
2023-11-27,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-04,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-11,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-18,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-25,2,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,2,5,0,1,1,7,1,0,0,0,0,0
2024-01-08,2,1,0,1,1,1,1,0,0,0,0,0
2024-01-15,2,0,0,0,0,0,0,0,0,0,0,0
2024-01-22,2,0,0,0,0,0,0,0,0,0,0,0
2024-01-29,2,0,0,0,0,0,0,0,0,0,0,0
2024-02-05,2,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,2,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,2,2,1,1,1,7,0,0,0,0,0,0
2024-02-26,2,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,2,2,1,1,0,0,0,0,0,0,0,0
2024-03-11,2,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,2,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,2,0,0,0,1,7,0,0,0,0,0,0
2024-04-01,2,0,0,0,0,0,0,0,0,0,0,0
2024-04-08,2,0,0,0,1,7,0,0,0,0,0,0
2024-04-15,2,0,0,0,0,0,0,0,0,0,0,0
2024-04-22,1,0,0,0,0,0,0,0,0,0,0,0
2024-04-29,2,3,0,1,0,0,0,1,0,0,0,0
2024-05-06,2,3,1,1,0,0,0,1,0,0,0,0
2024-05-13,2,0,0,0,0,0,0,0,0,0,0,0
2024-05-20,2,0,0,0,0,0,0,0,0,0,0,0
2024-05-27,2,0,0,0,0,0,0,0,0,0,0,0
2024-06-03,2,0,0,0,0,0,0,0,0,0,0,0
2024-06-10,2,2,1,1,0,0,0,0,0,0,0,0
2024-06-17,2,0,0,0,0,0,0,0,0,0,0,0
2024-06-24,2,0,0,0,0,0,0,0,0,0,0,0
2024-07-01,2,0,0,0,0,0,0,0,0,0,0,0
2024-07-08,2,0,0,0,0,0,0,0,0,0,0,0
2024-07-15,2,0,0,0,0,0,0,0,0,0,0,0
2024-07-22,2,0,0,0,0,0,0,0,0,0,0,0
2024-07-29,2,0,0,0,0,0,0,0,0,0,0,0
2024-08-05,2,0,0,0,0,0,0,0,0,0,0,0
2024-08-12,2,0,0,0,0,0,0,0,0,0,0,0
2024-08-19,2,0,0,0,0,0,0,0,0,0,0,0
2024-08-26,2,0,0,0,0,0,0,0,1,0,0,0
2024-09-02,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-09,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-16,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-23,2,0,0,0,0,0,0,0,0,0,0,0
2024-09-30,2,0,0,0,0,0,0,0,0,0,0,0
2024-10-07,2,0,0,0,1,7,0,0,0,0,0,0
2024-10-14,2,0,0,0,0,0,0,0,0,0,0,0
2024-10-21,2,0,0,0,0,0,0,0,0,0,0,0
2024-10-28,2,0,1,0,1,7,0,0,0,0,0,0
2024-11-04,2,1,0,1,1,1,0,0,0,0,0,0
2024-11-11,2,0,0,0,0,0,0,0,0,0,0,0
2024-11-18,2,0,0,0,1,7,0,0,0,0,0,0
2024-11-25,2,0,0,0,0,0,0,0,0,0,0,0
2024-12-02,2,0,0,0,0,0,0,0,0,0,0,0
2024-12-09,2,0,0,0,0,0,0,0,0,0,0,0
2024-12-16,2,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,1,0,0,0,0,0,0,0,0,0,0,0
2024-12-30,2,5,0,1,1,7,1,0,0,0,0,0
2025-01-06,2,3,0,1,1,7,1,0,0,0,0,0
2025-01-13,2,0,0,0,0,0,0,0,0,0,0,0
2025-01-20,2,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,2,0,0,0,0,0,0,0,0,0,0,0
2025-02-03,2,0,0,0,0,0,0,0,0,0,0,0
2025-02-10,2,0,0,0,0,0,0,0,0,0,0,0
2025-02-17,2,0,0,0,1,7,0,0,0,0,0,0
2025-02-24,2,0,0,0,1,1,0,0,0,0,0,0
2025-03-03,2,1,1,1,0,0,0,0,0,0,0,0
2025-03-10,2,0,0,0,0,0,0,0,0,0,0,0
2025-03-17,2,0,0,0,0,0,0,0,0,0,0,0
2025-03-24,2,0,0,0,1,7,0,0,0,0,0,0
2025-03-31,2,0,0,0,1,1,0,0,0,0,0,0
